id,name,year,metacritic_rating,reviewer_rating,positivity_ratio,to_beat_main,to_beat_extra,to_beat_completionist,extra_content_length,tags
96000,The Tiny Bang Story,2011.0,63.0,8.0,7.073878627968337,3.6,3.6,3.77,0.1699999999999999,Story Rich|Steampunk|Adventure|Atmospheric|Puzzle|Surreal|Collectathon|Comedy|Relaxing|Touch-Friendly|Classic|Funny|Mystery|Casual|Indie|Short|Cartoony|Retro|Logic|Cult Classic|Remake|Singleplayer|Minigames|Great Soundtrack|Hand-drawn|Colorful|Cute|Hidden Object|Family Friendly|2D|Stylized
365450,Hacknet,2015.0,82.0,8.0,14.548520302821748,7.06,8.73,10.75,3.69,Horror|Story Rich|Hacking|Crime|Multiplayer|Dystopian |Strategy|Adventure|Atmospheric|Puzzle|Cyberpunk|Detective|Programming|Massively Multiplayer|Typing|Casual|Indie|Simulation|Singleplayer|Great Soundtrack|Choices Matter|Education|2D|Difficult|Logic|Illuminati|Sci-fi
92800,SpaceChem,2011.0,84.0,8.0,11.44041450777202,43.32,57.79,67.55,24.23,Automation|Strategy|Building|Puzzle|Science|Programming|Touch-Friendly|Casual|Indie|Simulation|Singleplayer|Space|Great Soundtrack|Education|Addictive|2D|Difficult|Logic|Illuminati|Sci-fi
736260,Baba Is You,2019.0,87.0,9.0,49.39718309859155,6.84,19.28,46.7,39.86,Horror|Sokoban|Strategy|Level Editor|Pixel Graphics|Atmospheric|Puzzle|Surreal|Psychological Horror|Top-Down|Programming|Souls-like|Nudity|Funny|Sexual Content|Casual|Indie|Retro|Singleplayer|Great Soundtrack|Cute|2D|Minimalist|Difficult|Logic
375820,Human Resource Machine,2015.0,78.0,8.0,15.220833333333331,4.18,7.57,9.52,5.34,Automation|Resource Management|Puzzle|Comedy|Programming|Satire|Touch-Friendly|Funny|Casual|Indie|Simulation|Singleplayer|Great Soundtrack|Education|2D|Difficult|Experimental|Logic|Sandbox
558990,Opus Magnum,2017.0,90.0,9.0,37.97744360902256,15.24,26.06,42.6,27.36,Automation|Building|Steampunk|Puzzle|Casual|Indie|Hex Grid|2D|Logic|Difficult|Simulation|Great Soundtrack|Singleplayer|Sandbox|Early Access|Programming
204240,The Bridge,2013.0,74.0,8.0,7.0371819960861055,3.55,5.89,7.61,4.0600000000000005,Side Scroller|Strategy|Adventure|Platformer|Physics|Atmospheric|Puzzle|Surreal|Controller|Philosophical|Beautiful|Touch-Friendly|Casual|Indie|Logic|Singleplayer|Emotional|Great Soundtrack|Hand-drawn|Abstract|Dark|2D|Difficult|Stylized
94300,The Dream Machine: Chapter 1 & 2,2012.0,75.0,8.0,7.204819277108434,13.12,13.93,18.2,5.08,Horror|Episodic|Story Rich|Adventure|Atmospheric|Exploration|Puzzle|Surreal|Psychological Horror|Narration|Mature|Classic|Mystery|Casual|Fantasy|Indie|Psychedelic|Singleplayer|Great Soundtrack|Psychological|Drama|Hand-drawn|Dark|Interactive Fiction|Third Person|Conversation|2D|Logic|Sci-fi
994140,Lightmatter,2020.0,73.0,8.0,10.567961165048544,3.9,4.44,6.0,2.1,First-Person|Lore-Rich|Futuristic|Old School|Adventure|Atmospheric|Puzzle|Free to Play|Science|Controller|Narration|Dynamic Narration|FPS|3D|Indie|Dark Comedy|Dark|Difficult|Logic|Sci-fi
765810,Mars Horizon,2020.0,71.0,8.0,5.299019607843137,12.82,34.5,92.87,80.05000000000001,Historical|Space Sim|Strategy|Resource Management|Building|Physics|Exploration|Management|Science|Mars|Logic|Singleplayer|Simulation|Alternate History|Space|Choices Matter|Education|Immersive Sim|Turn-Based|Stylized
